"","freq","prev","p.freq","p.prev","p","contaminant"
"CRP",0.000834342169412824,20,NA,0.696581196581197,0.696581196581197,FALSE
"CSA",0.000304839669141625,37,NA,0.825274725274725,0.825274725274725,FALSE
"CTPC",0.00362642523681841,57,NA,0.931501831501832,0.931501831501832,FALSE
"CTPD",0.00139882853469652,45,NA,0.873626373626374,0.873626373626374,FALSE
"CTPG",0.00180349637180333,52,NA,0.90952380952381,0.90952380952381,FALSE
"CTPV",0.00272619013676446,50,NA,0.8998778998779,0.8998778998779,FALSE
"CTX",0.00355813709719776,67,NA,0.966300366300366,0.966300366300366,FALSE
"CUEA",0.00354100979922889,55,NA,0.604395604395604,0.604395604395604,FALSE
"CUEO",0.00225247851121913,43,NA,0.862271062271062,0.862271062271062,FALSE
"CUER",0.000939495947805872,51,NA,0.904761904761905,0.904761904761905,FALSE
"CUID",0.00112050763268572,46,NA,0.879120879120879,0.879120879120879,FALSE
"CUSA",0.00481138917220658,72,NA,0.791208791208791,0.791208791208791,FALSE
"CUSB",0.00180860193885202,59,NA,0.939438339438339,0.939438339438339,FALSE
"CUSC",0.00146570009322271,34,NA,0.805128205128205,0.805128205128205,FALSE
"CUSF",0.000245407379426205,12,NA,0.623809523809524,0.623809523809524,FALSE
"CUSR",0.0012986542124912,52,NA,0.571428571428571,0.571428571428571,FALSE
"CUSS",0.00151829739984247,35,NA,0.384615384615385,0.384615384615385,TRUE
"CUTA",0.000590276161660132,21,NA,0.705128205128205,0.705128205128205,FALSE
"CUTC",0.000844927904837531,23,NA,0.252747252747253,0.252747252747253,TRUE
"CUTE",0.00191964072169358,43,NA,0.862271062271062,0.862271062271062,FALSE
"CUTF",0.000835129805683262,18,NA,0.679120879120879,0.679120879120879,FALSE
"CUTO",0.000979595433656379,44,NA,0.483516483516483,0.483516483516483,TRUE
"CUTR",8.52329698288823e-05,23,NA,0.721855921855922,0.721855921855922,FALSE
"CZCA",0.00381619333461827,50,NA,0.54945054945055,0.54945054945055,FALSE
"CZCB",0.00152652503797139,43,NA,0.862271062271062,0.862271062271062,FALSE
"CZCC",0.00123328856994045,49,NA,0.894871794871795,0.894871794871795,FALSE
"CZCCM",0.000884047656641332,45,NA,0.873626373626374,0.873626373626374,FALSE
"CZCD",0.000611074186252477,38,NA,0.831746031746032,0.831746031746032,FALSE
"CZCE",0.000277916345599199,34,NA,0.805128205128205,0.805128205128205,FALSE
"CZCP",0.00229023835653377,47,NA,0.884493284493284,0.884493284493284,FALSE
"CZCR",0.000701621598815963,47,NA,0.884493284493284,0.884493284493284,FALSE
"CZCS",0.0012819403666436,44,NA,0.868009768009768,0.868009768009768,FALSE
"CZRA",0.0053652701017667,60,NA,0.659340659340659,0.659340659340659,FALSE
"CZRB",0.0016035777000101,52,NA,0.90952380952381,0.90952380952381,FALSE
"DES",4.39126789468692e-05,17,NA,0.67020757020757,0.67020757020757,FALSE
"DFRA",0.000651568422527011,45,NA,0.873626373626374,0.873626373626374,FALSE
"DFRB",2.56195602027995e-05,13,NA,0.633333333333333,0.633333333333333,FALSE
"DHA",0.000447335238477889,45,NA,0.873626373626374,0.873626373626374,FALSE
"DHT",0.000644619135816803,44,NA,0.868009768009768,0.868009768009768,FALSE
"DMEF",0.00176662673240021,50,NA,0.54945054945055,0.54945054945055,FALSE
"DMER",0.000802777522364904,39,NA,0.428571428571429,0.428571428571429,TRUE
"DNAK",0.00443707851680682,62,NA,0.95042735042735,0.95042735042735,FALSE
"DPSA",0.000649277141510707,42,NA,0.856410256410256,0.856410256410256,FALSE
"DRRA",0.00125316627417038,48,NA,0.88974358974359,0.88974358974359,FALSE
"DSBA",0.00135811218510991,28,NA,0.307692307692308,0.307692307692308,TRUE
"DSBB",0.000579742738251462,21,NA,0.705128205128205,0.705128205128205,FALSE
"DSBC",0.00106204515665278,43,NA,0.862271062271062,0.862271062271062,FALSE
"EBR",2.05037380151345e-05,9,NA,0.594505494505495,0.594505494505495,FALSE
"EBRA",6.87755400418771e-05,8,NA,0.584493284493284,0.584493284493284,FALSE
"EEFA",0.000278155313731848,34,NA,0.805128205128205,0.805128205128205,FALSE
"EFM",0.000265241975791637,34,NA,0.805128205128205,0.805128205128205,FALSE
"EFMA",0.000235878242537859,16,NA,0.661172161172161,0.661172161172161,FALSE
"EFPA",0.000958164766055278,47,NA,0.884493284493284,0.884493284493284,FALSE
"EFRA",0.000668868847849187,35,NA,0.811965811965812,0.811965811965812,FALSE
"EFRB",0.000294496071371642,27,NA,0.753846153846154,0.753846153846154,FALSE
"ELM",0.000135930232122496,23,NA,0.721855921855922,0.721855921855922,FALSE
"EMHA",0.000376112436035041,28,NA,0.761538461538461,0.761538461538461,FALSE
"EMHB",0.00146137042574942,52,NA,0.90952380952381,0.90952380952381,FALSE
"EMHC",0.000730086324447655,47,NA,0.884493284493284,0.884493284493284,FALSE
"EMHR",0.000190417837720591,35,NA,0.811965811965812,0.811965811965812,FALSE
"EMMDR",0.000244909896775224,19,NA,0.687912087912088,0.687912087912088,FALSE
"EMRA",0.00103989501581158,38,NA,0.831746031746032,0.831746031746032,FALSE
"EMRASM",0.00156560931582119,46,NA,0.879120879120879,0.879120879120879,FALSE
"EMRB",0.00182978891249484,39,NA,0.428571428571429,0.428571428571429,TRUE
"EMRBSM",0.00139945981879222,51,NA,0.56043956043956,0.56043956043956,FALSE
"EMRCSM",0.00200822702071763,50,NA,0.8998778998779,0.8998778998779,FALSE
"EMRD",0.00248111842803208,61,NA,0.946886446886447,0.946886446886447,FALSE
"EMRE",0.000307750934968486,38,NA,0.831746031746032,0.831746031746032,FALSE
"EMRK",0.00101202478872684,17,NA,0.186813186813187,0.186813186813187,TRUE
"EMRR",0.000351204419666177,18,NA,0.679120879120879,0.679120879120879,FALSE
"EMRRSM",0.000392156496325782,29,NA,0.769108669108669,0.769108669108669,FALSE
"EMRY",0.000516403174354358,13,NA,0.633333333333333,0.633333333333333,FALSE
"EPTA",0.00371560923135711,48,NA,0.527472527472527,0.527472527472527,FALSE
"EREA",0.000410830687415191,13,NA,0.633333333333333,0.633333333333333,FALSE
"ERM",0.00363906669265275,56,NA,0.927350427350427,0.927350427350427,FALSE
"ERM30",0.000322235788292661,26,NA,0.746031746031746,0.746031746031746,FALSE
"ERM32",0.000387892988821189,40,NA,0.844322344322344,0.844322344322344,FALSE
"ERM37",0.000108918281698041,27,NA,0.753846153846154,0.753846153846154,FALSE
"ERM41",7.03017212237794e-05,20,NA,0.696581196581197,0.696581196581197,FALSE
"ERME",0.00139893277606849,45,NA,0.873626373626374,0.873626373626374,FALSE
"ERMH",0.000186936868045519,36,NA,0.818681318681319,0.818681318681319,FALSE
"ERMN",0.000342595150405992,41,NA,0.85042735042735,0.85042735042735,FALSE
"ERMO",0.00112682744379672,46,NA,0.505494505494505,0.505494505494505,FALSE
"ERMR",0.00104271571827446,47,NA,0.884493284493284,0.884493284493284,FALSE
"ERMS",0.000608237157825972,45,NA,0.873626373626374,0.873626373626374,FALSE
"ERMU",0.000241046665061381,36,NA,0.818681318681319,0.818681318681319,FALSE
"ERMV",0.000853368855626498,44,NA,0.868009768009768,0.868009768009768,FALSE
"ERMX",5.08982675071269e-05,9,NA,0.594505494505495,0.594505494505495,FALSE
"ERP",0.000129584009019391,27,NA,0.753846153846154,0.753846153846154,FALSE
"ESTD",0.00107963926067498,48,NA,0.88974358974359,0.88974358974359,FALSE
"EVGA",0.00041991645377683,12,NA,0.623809523809524,0.623809523809524,FALSE
"EVGS",0.0026471446412185,31,NA,0.783882783882784,0.783882783882784,FALSE
"EVM",0.00015090457961016,30,NA,0.776556776556776,0.776556776556776,FALSE
"EXO",0.000511061614920428,45,NA,0.873626373626374,0.873626373626374,FALSE
"FABI",0.00204507766139019,36,NA,0.818681318681319,0.818681318681319,FALSE
"FABL",8.80577300638371e-05,18,NA,0.679120879120879,0.679120879120879,FALSE
"FABV",5.19291980972426e-05,21,NA,0.705128205128205,0.705128205128205,FALSE
"FACT",0.00175115159372463,50,NA,0.14957264957265,0.14957264957265,TRUE
"FAR1",0.00133249444780326,47,NA,0.884493284493284,0.884493284493284,FALSE
"FARA",0.000613546904772025,30,NA,0.776556776556776,0.776556776556776,FALSE
"FARB",0.000586849021689135,45,NA,0.494505494505495,0.494505494505495,TRUE
"FARR",0.000679470022923126,33,NA,0.798168498168498,0.798168498168498,FALSE
"FBPC",2.40117360613975e-05,2,NA,0.521855921855922,0.521855921855922,FALSE
"FECD",0.0012533051842235,54,NA,0.918681318681319,0.918681318681319,FALSE
"FECE",0.00186537070943699,62,NA,0.95042735042735,0.95042735042735,FALSE
"FETA",0.000793090593669701,20,NA,0.696581196581197,0.696581196581197,FALSE
"FETB",0.000989488878772513,29,NA,0.769108669108669,0.769108669108669,FALSE
"FIA",0.000413535684036461,38,NA,0.831746031746032,0.831746031746032,FALSE
"FIEF",0.00211350971468003,46,NA,0.505494505494505,0.505494505494505,FALSE
"FIM",3.26804400636796e-05,12,NA,0.623809523809524,0.623809523809524,FALSE
"FLOR",0.000969377339962529,44,NA,0.868009768009768,0.868009768009768,FALSE
"FMRO",0.00112098515522161,46,NA,0.879120879120879,0.879120879120879,FALSE
"FOMA",0.000379016983529088,41,NA,0.85042735042735,0.85042735042735,FALSE
"FOMB",0.000503486026822461,38,NA,0.831746031746032,0.831746031746032,FALSE
"FONA",0.000311222364604956,38,NA,0.831746031746032,0.831746031746032,FALSE
"FOSA",0.00124737397367777,54,NA,0.918681318681319,0.918681318681319,FALSE
"FOSC",5.55326882972728e-05,8,NA,0.584493284493284,0.584493284493284,FALSE
"FOSX",4.78782954460702e-05,14,NA,0.642735042735043,0.642735042735043,FALSE
"FOX",0.000834334369269718,42,NA,0.856410256410256,0.856410256410256,FALSE
"FPTA",0.00131712156634037,51,NA,0.904761904761905,0.904761904761905,FALSE
"FPVA",0.00129395837879272,49,NA,0.894871794871795,0.894871794871795,FALSE
"FRI",0.000512218474065564,9,NA,0.594505494505495,0.594505494505495,FALSE
"FRNE",0.000337042388037133,41,NA,0.85042735042735,0.85042735042735,FALSE
"FURA",6.04509841007362e-05,14,NA,0.642735042735043,0.642735042735043,FALSE
"FUSF",0.000100731991363175,5,NA,0.553724053724054,0.553724053724054,FALSE
"FUSH",0.00195240774091964,51,NA,0.904761904761905,0.904761904761905,FALSE
"G2ALT",1.42287585672842e-05,3,NA,0.532600732600733,0.532600732600733,FALSE
"GADA",0.00275105096645229,52,NA,0.90952380952381,0.90952380952381,FALSE
"GADB",0.00138987673553778,39,NA,0.428571428571429,0.428571428571429,TRUE
"GADC",0.0019910283789762,30,NA,0.776556776556776,0.776556776556776,FALSE
"GADE",0.000853554277880434,13,NA,0.633333333333333,0.633333333333333,FALSE
"GADW",0.000864418767940309,25,NA,0.738095238095238,0.738095238095238,FALSE
"GADX",0.00151966936647301,19,NA,0.687912087912088,0.687912087912088,FALSE
"GES",0.00115734487783569,52,NA,0.571428571428571,0.571428571428571,FALSE
"GESA",0.000246518664029245,32,NA,0.791086691086691,0.791086691086691,FALSE
"GESB",0.00153981075648863,52,NA,0.90952380952381,0.90952380952381,FALSE
"GESC",0.00050326826994929,43,NA,0.862271062271062,0.862271062271062,FALSE
"GIM",4.48760812049981e-05,3,NA,0.532600732600733,0.532600732600733,FALSE
"GIMA",0.00122756167156041,52,NA,0.90952380952381,0.90952380952381,FALSE
"GLPF",0.000937590680252054,22,NA,0.713553113553114,0.713553113553114,FALSE
"GOLS",0.000169261157297734,29,NA,0.769108669108669,0.769108669108669,FALSE
