"OTU","Genus","Sample","RelAbundance"
"40324","Stenotrophomonas","AMC26",0.00366703337000367
"40324","Stenotrophomonas","AMC27",0.000604793419847592
"40324","Stenotrophomonas","AMC28",0.00035431280074693
"40324","Stenotrophomonas","AMC29",0.00168918918918919
"40324","Stenotrophomonas","AMC2",0.00754310344827586
"40324","Stenotrophomonas","AMC30",0.00042077599952755
"40324","Stenotrophomonas","AMC31",0
"40324","Stenotrophomonas","AMC32",0.000232140247100396
"40324","Stenotrophomonas","AMC33",0.00015092853861802
"40324","Stenotrophomonas","AMC34",0.00155642023346304
"40324","Stenotrophomonas","AMC35",0.000220383705900923
"40324","Stenotrophomonas","AMC36",0.000471991289190465
"40324","Stenotrophomonas","AMC37",0.000823935321077295
"40324","Stenotrophomonas","AMC38",0.000362083670831076
"40324","Stenotrophomonas","AMC39",0.00166389351081531
"40324","Stenotrophomonas","AMC3",0.00429184549356223
"40324","Stenotrophomonas","AMC40",0.000304822429388577
"40324","Stenotrophomonas","AMC41",0.00327868852459016
"40324","Stenotrophomonas","AMC42",0.000225095665657905
"40324","Stenotrophomonas","AMC43",0.000391785051049592
"40324","Stenotrophomonas","AMC44",0.00027120315581854
"40324","Stenotrophomonas","AMC45",0.00038438568179219
"40324","Stenotrophomonas","AMC46",0
"40324","Stenotrophomonas","AMC47",0.000321620969687224
"40324","Stenotrophomonas","AMC48",0.00466200466200466
"40324","Stenotrophomonas","AMC49",0.00428265524625268
"40324","Stenotrophomonas","AMC4",0.000332224622701627
"40324","Stenotrophomonas","AMC50",0.00220588235294118
"40324","Stenotrophomonas","AMC51",0.00425985090521832
"40324","Stenotrophomonas","AMC52",0.000319017770152008
"40324","Stenotrophomonas","AMC53",0.000236840094736038
"40324","Stenotrophomonas","AMC54",0.000269295069565299
"40324","Stenotrophomonas","AMC55",0.000276001104004416
"40324","Stenotrophomonas","AMC56",0.0031201248049922
"40324","Stenotrophomonas","AMC57",0.000264395732775848
"40324","Stenotrophomonas","AMC58",0.00123685837971552
"40324","Stenotrophomonas","AMC59",0.000205597388913161
"40324","Stenotrophomonas","AMC5",0.00156657963446475
"40324","Stenotrophomonas","AMC60",0.000309045108923823
"40324","Stenotrophomonas","AMC6",0.000263558332567695
"40324","Stenotrophomonas","AMC7",0
"40324","Stenotrophomonas","AMC8",0.00512820512820513
"40324","Stenotrophomonas","AMC91",0.000314617761575866
"40324","Stenotrophomonas","AMC93",0.000236249457450374
"40324","Stenotrophomonas","AMC94",0.000239812436060647
"40324","Stenotrophomonas","AMC95",0.000495553614972971
"40324","Stenotrophomonas","AMC96",0.000354286607445229
"40324","Stenotrophomonas","AMC9",0.00045949894040916
"1176536","Novosphingobium","AMC10",0.0909090909090909
"1176536","Novosphingobium","AMC1",0.000196208275084002
"1176536","Novosphingobium","AMC21",0.000154726907009129
"1176536","Novosphingobium","AMC22",0.000209544357436108
"1176536","Novosphingobium","AMC23",0.000170741701953285
"1176536","Novosphingobium","AMC24",0.000219876868953386
"1176536","Novosphingobium","AMC25",0.000256612036815274
"1176536","Novosphingobium","AMC26",0.00403373670700403
"1176536","Novosphingobium","AMC27",0.000145150420763422
"1176536","Novosphingobium","AMC28",0.000225036508582509
"1176536","Novosphingobium","AMC29",0.00168918918918919
"1176536","Novosphingobium","AMC2",0.00107758620689655
"1176536","Novosphingobium","AMC30",0.000140258666509183
"1176536","Novosphingobium","AMC31",0.00134408602150538
"1176536","Novosphingobium","AMC32",0.000214944673241108
"1176536","Novosphingobium","AMC33",0.000157490648992716
"1176536","Novosphingobium","AMC34",0
"1176536","Novosphingobium","AMC35",0.000184645807646719
"1176536","Novosphingobium","AMC36",0.000205619967568123
"1176536","Novosphingobium","AMC37",5.1495957567331e-05
"1176536","Novosphingobium","AMC38",0.000174336582252
"1176536","Novosphingobium","AMC39",0
"1176536","Novosphingobium","AMC3",0
"1176536","Novosphingobium","AMC40",0.000191668648782211
"1176536","Novosphingobium","AMC41",0.00327868852459016
"1176536","Novosphingobium","AMC42",0.000175074406622815
