"","AMC10","AMC1","AMC21","AMC22","AMC23","AMC24","AMC25","AMC26","AMC27","AMC28","AMC29","AMC2","AMC30","AMC31","AMC32","AMC33","AMC34","AMC35","AMC36","AMC37","AMC38","AMC39","AMC3","AMC40","AMC41","AMC42","AMC43","AMC44","AMC45","AMC46","AMC47","AMC48","AMC49","AMC4","AMC50","AMC51","AMC52","AMC53","AMC54","AMC55","AMC56","AMC57","AMC58","AMC59","AMC5","AMC60","AMC6","AMC7","AMC8","AMC91","AMC93","AMC94","AMC95","AMC96","AMC9"
"2681549",0,67,0,59,26,22,53,0,146,100,0,0,62,0,54,73,1,78,91,0,306,0,0,198,0,20,71,100,150,2,74,0,1,272,0,0,67,60,354,36,0,77,0,14,0,141,736,0,0,326,379,172,162,203,52
"1813468",0,146,1,173,102,46,207,0,370,267,0,0,274,0,204,232,0,236,276,0,957,0,0,506,0,58,191,297,387,0,205,1,0,683,0,0,198,170,833,123,0,238,0,87,0,457,1995,0,0,905,880,520,428,529,206
"13689",0,122,6,131,45,43,124,0,230,179,0,0,155,0,134,177,0,161,213,0,719,0,1,402,0,33,122,196,274,0,159,0,1,545,0,0,104,124,523,69,0,175,0,31,0,382,1308,0,0,637,586,420,252,420,154
"653931",0,72,0,98,54,34,81,0,168,131,0,1,73,0,71,92,0,113,112,0,392,1,1,267,0,19,94,135,189,0,95,0,1,364,0,0,58,85,359,45,0,86,0,24,0,266,878,0,1,379,426,249,147,294,106
"296544",0,46,0,51,23,13,53,0,116,101,0,0,44,0,53,62,0,69,128,0,333,0,0,208,0,13,59,114,122,0,93,0,0,202,0,0,43,61,282,20,0,58,0,23,0,155,677,0,0,250,288,172,124,192,47
"1541170",0,57,2,53,21,11,66,0,124,75,0,0,57,1,49,33,0,59,80,0,245,0,1,164,0,9,41,71,110,0,47,0,0,188,0,0,43,37,286,31,0,45,0,21,0,131,476,0,0,224,251,127,84,126,90
"33051",0,50,0,65,35,24,101,0,214,98,0,0,60,0,68,69,0,57,85,0,364,0,0,192,0,7,72,93,132,0,73,1,0,230,0,0,59,44,334,39,0,71,0,20,0,173,662,0,0,253,305,168,164,172,77
"298708",0,29,0,31,14,5,33,0,53,37,0,0,45,0,23,34,0,35,53,0,183,0,0,111,0,12,20,47,52,0,24,0,0,86,2,0,21,46,117,17,0,32,0,7,0,67,371,0,0,145,149,87,65,97,22
"2918765",0,86,1,50,27,14,64,0,131,84,0,0,43,0,42,82,0,71,88,0,269,0,0,163,0,22,40,81,120,0,79,0,0,218,0,0,57,43,245,42,0,69,0,21,0,133,602,0,0,301,305,147,114,164,44
"2938948",0,20,0,12,8,5,6,0,37,36,0,0,15,0,16,14,0,25,52,1,94,0,0,48,0,1,9,27,31,0,22,0,0,60,0,1,24,18,102,10,0,20,0,9,0,50,240,0,0,80,127,58,58,66,25
"2714944",0,40,0,22,15,12,19,0,37,36,0,0,23,0,15,30,0,25,39,0,111,0,0,77,0,10,32,53,58,0,22,0,0,86,0,0,13,17,124,30,0,17,0,4,0,56,317,0,0,108,142,60,57,61,16
"2930091",0,57,0,54,25,48,45,0,96,85,0,0,48,0,78,74,0,81,100,1,313,0,0,199,0,19,54,87,161,0,100,0,0,213,0,0,28,57,266,17,0,71,0,14,0,164,698,0,0,287,320,170,160,189,84
"2072936",0,43,1,43,20,16,25,1,43,66,0,0,47,0,37,37,0,53,70,0,227,0,0,122,0,12,36,72,109,0,65,0,0,114,0,0,31,32,199,28,0,44,0,16,0,80,455,0,0,230,223,109,90,169,46
"1315974",0,100,0,62,36,29,76,0,250,94,0,0,79,0,61,59,0,76,93,1,342,0,0,214,0,15,52,111,103,0,76,0,0,266,0,0,37,92,268,40,0,75,0,36,3,237,709,0,0,258,300,183,97,203,84
"407020",0,66,0,60,22,19,40,0,136,78,0,0,48,0,38,53,0,88,62,1,299,0,0,155,0,8,37,104,97,0,66,0,0,136,0,0,47,47,220,60,0,57,0,11,0,174,519,0,0,250,242,133,95,149,79
"520734",0,0,0,46,27,8,31,0,90,29,0,0,56,0,0,27,0,42,76,0,285,0,0,83,0,0,30,37,97,0,37,0,0,186,0,0,17,23,95,18,0,34,0,7,0,49,446,0,0,155,163,70,97,123,54
"484429",0,36,0,33,22,0,14,0,78,38,0,0,46,0,0,23,0,76,62,0,108,0,2,66,0,0,38,28,65,0,39,0,0,211,0,0,19,0,122,0,0,45,0,0,0,60,328,0,0,62,154,0,0,52,26
"2979467",0,27,0,54,18,6,49,1,69,42,0,0,35,0,33,41,0,15,35,0,131,0,0,56,0,6,25,35,47,0,39,0,0,112,0,0,25,40,132,30,0,33,0,2,0,76,265,0,0,95,160,89,74,68,48
"3024245",0,17,0,8,25,29,20,0,18,37,0,0,17,0,63,70,0,63,44,5,58,0,0,122,0,0,0,30,84,0,28,0,0,110,0,0,81,9,354,0,0,43,0,0,0,133,378,0,0,215,221,99,47,167,29
"46429",0,26,0,42,17,21,58,0,102,60,0,0,32,0,52,33,0,42,69,0,228,0,0,110,0,11,60,48,99,0,43,0,0,130,0,0,54,37,198,22,0,54,0,18,0,86,448,0,0,190,237,92,88,147,34
"336203",0,20,2,8,18,5,15,0,41,53,0,0,8,0,36,13,0,11,31,0,176,0,0,126,0,4,0,61,50,0,34,0,0,151,0,0,7,44,89,9,0,12,0,10,0,120,220,0,0,127,135,71,39,65,0
"76947",0,53,2,31,7,11,28,0,77,39,0,0,83,0,15,46,0,44,44,1,144,0,0,86,0,11,27,57,82,0,40,0,0,130,0,0,21,39,147,19,0,31,0,9,0,83,333,0,0,180,192,119,78,61,39
"1874061",0,69,1,66,30,13,71,0,102,147,0,0,94,0,66,94,0,98,139,2,342,1,0,219,0,14,78,144,134,0,59,0,0,205,0,0,52,50,351,53,0,73,0,26,0,167,847,0,0,333,328,257,158,217,71
"292913",0,41,1,44,40,9,62,0,100,133,0,0,68,0,86,72,0,68,95,0,352,0,0,234,0,33,61,97,146,0,79,0,0,231,0,0,53,77,327,35,0,98,0,19,0,198,760,0,0,210,382,206,120,214,57
"2976533",0,40,0,43,18,23,46,0,95,77,0,0,42,0,53,73,0,55,100,1,219,0,0,181,0,18,59,82,102,1,50,0,0,168,0,0,30,44,236,45,0,58,0,9,0,117,620,0,0,231,268,162,111,127,34
"2830667",0,29,0,43,18,17,36,0,60,45,0,0,35,0,50,49,1,54,64,2,204,0,0,108,0,11,31,61,76,0,43,0,0,130,0,0,45,28,163,20,0,39,0,9,0,73,491,0,0,183,177,112,88,142,57
"310581",0,38,0,30,21,9,43,0,73,64,0,0,39,0,31,47,0,51,46,0,246,0,1,95,0,6,32,66,94,0,49,0,0,133,0,0,34,35,186,24,0,49,0,13,0,73,475,0,0,163,238,118,89,138,25
"2054227",0,91,1,90,50,44,87,0,159,110,0,0,76,0,109,77,0,114,116,0,527,0,0,263,0,23,93,152,197,0,135,1,0,248,0,0,63,70,314,71,0,146,0,29,0,169,995,0,0,443,495,230,180,295,66
"1515612",0,31,0,40,13,14,56,0,102,56,0,0,42,3,56,51,0,58,68,0,280,0,0,117,0,13,48,86,86,1,56,1,0,150,0,0,43,28,198,32,0,64,0,21,1,98,605,0,0,219,194,166,117,156,41
"117207",0,35,1,20,8,16,16,0,28,37,0,0,31,0,30,30,0,30,51,0,140,0,0,86,0,6,26,40,48,0,23,0,0,115,0,1,29,28,141,13,0,36,0,5,0,53,348,0,0,115,158,75,56,76,31
"180400",0,28,0,27,16,9,24,0,65,60,0,0,27,0,29,44,0,41,58,0,173,0,0,106,0,3,45,60,85,0,47,0,0,101,0,0,23,37,158,16,0,35,0,9,0,77,389,0,0,132,158,94,77,86,30
"1609758",0,36,0,34,13,12,21,0,44,47,0,0,25,0,26,24,0,52,45,2,144,0,0,89,0,12,31,60,77,0,34,0,0,107,0,0,21,21,115,38,0,56,0,0,0,80,379,0,0,163,178,105,64,89,38
"1842535",0,26,1,29,4,10,11,0,43,32,0,0,11,0,32,24,0,37,19,0,94,0,0,56,0,7,17,33,57,0,40,0,0,97,0,0,21,13,95,16,0,19,0,13,0,36,314,0,0,113,140,83,60,80,17
"1867408",0,33,0,28,12,8,19,0,36,43,0,0,22,0,35,19,0,27,34,0,126,0,0,67,0,10,23,33,48,0,19,0,0,65,0,1,31,19,107,19,0,33,0,11,0,51,236,0,0,103,91,63,54,73,24
"392610",0,15,0,16,10,9,14,0,23,34,0,0,24,0,24,25,0,26,35,0,132,0,0,82,0,11,14,38,59,0,27,0,0,69,0,0,19,29,130,15,0,30,0,3,0,61,293,0,0,105,122,62,48,87,17
"1582356",0,12,2,23,7,6,12,0,35,31,0,0,23,0,19,24,1,25,36,0,127,0,0,81,0,5,9,28,54,0,34,0,0,68,0,0,27,24,90,13,0,23,0,5,0,75,215,0,0,90,116,57,61,62,15
"1229164",0,8,0,18,7,11,8,0,18,24,0,0,19,0,21,19,0,23,29,1,87,0,0,57,0,3,14,22,31,0,11,0,0,46,1,0,17,12,73,13,0,13,0,9,0,26,194,0,0,86,95,34,38,52,20
"3075605",0,50,0,42,20,18,53,0,109,88,0,0,59,0,48,47,0,74,89,0,209,0,0,145,0,17,38,64,111,0,46,0,0,183,0,0,60,57,246,39,0,46,0,20,0,119,557,1,0,233,265,155,103,198,63
"941907",0,33,0,35,18,18,41,0,80,60,0,0,34,0,59,53,0,45,59,0,218,0,0,119,0,16,44,65,102,0,40,0,0,138,0,0,27,51,186,25,0,51,0,14,0,96,464,0,0,181,202,101,86,138,50
"1550733",0,18,0,18,15,6,27,0,61,49,0,0,35,0,37,34,0,31,71,0,140,0,0,117,0,12,32,54,62,0,47,0,0,96,0,0,31,31,165,14,0,39,0,7,0,84,436,0,0,170,178,84,68,130,38
"2026624",0,16,0,33,20,8,18,0,55,42,0,0,16,0,31,34,0,34,64,0,164,0,0,123,0,17,30,65,57,0,38,0,0,88,0,0,26,32,171,10,0,40,0,5,0,76,372,0,0,149,178,80,65,100,31
"2762729",0,19,0,12,12,10,14,0,54,22,0,0,27,0,20,25,0,30,27,0,112,0,0,55,0,10,25,36,44,0,28,0,0,69,0,0,27,28,121,15,0,45,0,2,0,53,239,0,0,116,94,64,48,90,20
