"","freq","prev","p.freq","p.prev","p","contaminant"
"274",2.00936564063294e-05,24,NA,0.73003663003663,0.73003663003663,TRUE
"2838237",0.00269588602015792,43,NA,0.862271062271062,0.862271062271062,FALSE
"174",3.90523213752762e-07,2,NA,0.521855921855922,0.521855921855922,TRUE
"2766701",8.37163446718928e-07,8,NA,0.584493284493284,0.584493284493284,TRUE
"2341117",1.71583835716646e-05,40,NA,0.844322344322344,0.844322344322344,FALSE
"2875540",2.25950644798234e-05,43,NA,0.472527472527473,0.472527472527473,TRUE
"2838157",1.90489908735916e-05,42,NA,0.856410256410256,0.856410256410256,FALSE
"2732161",2.77893022448296e-06,32,NA,0.791086691086691,0.791086691086691,TRUE
"3059026",5.7903010888458e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"2845819",4.6637434810339e-06,31,NA,0.783882783882784,0.783882783882784,TRUE
"312277",3.69964141793017e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"2704140",1.47393551545635e-06,21,NA,0.705128205128205,0.705128205128205,TRUE
"1492737",2.92213812600218e-07,8,NA,0.584493284493284,0.584493284493284,TRUE
"3003256",2.70001626091966e-07,2,NA,0.521855921855922,0.521855921855922,TRUE
"2808900",6.50577314685047e-07,12,NA,0.623809523809524,0.623809523809524,TRUE
"2358479",2.87931037143471e-06,27,NA,0.753846153846154,0.753846153846154,TRUE
"3038772",7.0154442071614e-07,11,NA,0.614163614163614,0.614163614163614,TRUE
"754429",5.19976817572767e-06,34,NA,0.805128205128205,0.805128205128205,FALSE
"2708117",9.90789952687012e-07,15,NA,0.652014652014652,0.652014652014652,TRUE
"1453352",1.23377889507444e-06,17,NA,0.67020757020757,0.67020757020757,TRUE
"2562892",4.02784384706381e-06,12,NA,0.623809523809524,0.623809523809524,TRUE
"480520",5.36855449104821e-06,30,NA,0.776556776556776,0.776556776556776,TRUE
"2686366",1.97715867997209e-06,20,NA,0.696581196581197,0.696581196581197,TRUE
"1178825",2.32434741164126e-06,28,NA,0.761538461538461,0.761538461538461,TRUE
"2745560",4.59528092210149e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"2058175",2.54529816566934e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"2594004",4.45747137573033e-06,28,NA,0.761538461538461,0.761538461538461,TRUE
"2173169",1.11190049678519e-06,14,NA,0.642735042735043,0.642735042735043,TRUE
"2879938",1.11700214550832e-06,19,NA,0.687912087912088,0.687912087912088,TRUE
"2713414",5.83863969532947e-06,28,NA,0.761538461538461,0.761538461538461,TRUE
"2838877",2.07042820455717e-06,15,NA,0.652014652014652,0.652014652014652,TRUE
"2966625",6.98650073675773e-07,3,NA,0.532600732600733,0.532600732600733,TRUE
"266749",2.1184459449003e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"2487072",1.14272155996561e-05,14,NA,0.642735042735043,0.642735042735043,TRUE
"2976818",3.25798210627333e-06,28,NA,0.761538461538461,0.761538461538461,TRUE
"2004710",1.15919149215213e-05,19,NA,0.687912087912088,0.687912087912088,TRUE
"343874",0.000102167592033788,24,NA,0.73003663003663,0.73003663003663,TRUE
"247",1.32768785239807e-05,17,NA,0.67020757020757,0.67020757020757,TRUE
"2704652",0.000142128483244945,45,NA,0.873626373626374,0.873626373626374,FALSE
"2898187",4.59076546868882e-06,31,NA,0.783882783882784,0.783882783882784,TRUE
"164516",5.36535737060411e-07,12,NA,0.623809523809524,0.623809523809524,TRUE
"1415657",2.96706149029044e-07,7,NA,0.574358974358974,0.574358974358974,TRUE
"3141542",5.03590267522126e-06,20,NA,0.696581196581197,0.696581196581197,TRUE
"1727164",9.79175324687073e-07,13,NA,0.633333333333333,0.633333333333333,TRUE
"363852",3.38501185077803e-06,33,NA,0.798168498168498,0.798168498168498,TRUE
"2679963",7.54659621691692e-06,33,NA,0.798168498168498,0.798168498168498,TRUE
"2557994",1.35575299710676e-05,21,NA,0.705128205128205,0.705128205128205,TRUE
"34087",1.03182083737288e-06,4,NA,0.543223443223443,0.543223443223443,TRUE
"2520506",8.37883701864581e-07,12,NA,0.623809523809524,0.623809523809524,TRUE
"1727163",1.21368916143237e-06,21,NA,0.705128205128205,0.705128205128205,TRUE
"1379270",1.23370006616926e-06,20,NA,0.696581196581197,0.696581196581197,TRUE
"2996782",1.15524848898654e-05,31,NA,0.783882783882784,0.783882783882784,TRUE
"128",1.26265909950171e-05,24,NA,0.263736263736264,0.263736263736264,TRUE
"1630693",3.22823669519536e-06,18,NA,0.679120879120879,0.679120879120879,TRUE
"3064265",6.70788087641066e-06,41,NA,0.85042735042735,0.85042735042735,FALSE
"2527980",6.78311072984095e-07,14,NA,0.642735042735043,0.642735042735043,TRUE
"2527994",4.05321073790075e-07,10,NA,0.604395604395604,0.604395604395604,TRUE
"225194",1.52971203321853e-06,28,NA,0.761538461538461,0.761538461538461,TRUE
"138563",7.44977817362377e-07,13,NA,0.633333333333333,0.633333333333333,TRUE
"28202",1.06196384261193e-06,3,NA,0.532600732600733,0.532600732600733,TRUE
"167642",1.08435448350488e-07,1,NA,NA,NA,FALSE
"88724",1.11724967572903e-06,20,NA,0.696581196581197,0.696581196581197,TRUE
"2961571",1.9587885876078e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"387343",1.82146655261558e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"2961994",3.61874140734872e-06,31,NA,0.783882783882784,0.783882783882784,TRUE
"869889",2.17558097883668e-06,22,NA,0.713553113553114,0.713553113553114,TRUE
"3034023",5.32518329679697e-06,35,NA,0.811965811965812,0.811965811965812,FALSE
"3033390",1.82946443029764e-06,24,NA,0.73003663003663,0.73003663003663,TRUE
"3033386",5.79076851664917e-06,40,NA,0.844322344322344,0.844322344322344,FALSE
"1932360",1.71480999166338e-06,25,NA,0.738095238095238,0.738095238095238,TRUE
"2876193",2.34000718896654e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"3031998",2.0516615503931e-06,21,NA,0.705128205128205,0.705128205128205,TRUE
"337243",2.87899729101601e-06,30,NA,0.776556776556776,0.776556776556776,TRUE
"2836432",1.07183737309328e-06,21,NA,0.705128205128205,0.705128205128205,TRUE
"2527867",2.54316790303971e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"660522",1.30541579807413e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"2949995",3.1263162512237e-06,15,NA,0.652014652014652,0.652014652014652,TRUE
"2938695",2.81310710114887e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"1702103",3.96965460865607e-06,33,NA,0.798168498168498,0.798168498168498,TRUE
"2599399",2.55728644675042e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"224402",1.42065524517632e-06,15,NA,0.652014652014652,0.652014652014652,TRUE
"1005933",4.33643916108571e-06,30,NA,0.776556776556776,0.776556776556776,TRUE
"2201",5.68802006834575e-07,4,NA,0.543223443223443,0.543223443223443,TRUE
"2734268",8.68803928410181e-07,12,NA,0.623809523809524,0.623809523809524,TRUE
"2956212",3.02648932354119e-07,7,NA,0.574358974358974,0.574358974358974,TRUE
"2955509",2.18694096154738e-06,8,NA,0.584493284493284,0.584493284493284,TRUE
"2955754",6.44238251578772e-08,2,NA,0.521855921855922,0.521855921855922,TRUE
"2734276",1.7190266921293e-07,4,NA,0.543223443223443,0.543223443223443,TRUE
"3047794",1.92652077606696e-07,3,NA,0.532600732600733,0.532600732600733,TRUE
"2956327",1.79142502694894e-07,5,NA,0.553724053724054,0.553724053724054,TRUE
"2938232",1.82477634568474e-05,32,NA,0.791086691086691,0.791086691086691,TRUE
"3019934",3.80638396392537e-06,33,NA,0.798168498168498,0.798168498168498,TRUE
"2919913",2.91353846740787e-05,40,NA,0.844322344322344,0.844322344322344,FALSE
"2979330",6.98330233229041e-07,6,NA,0.564102564102564,0.564102564102564,TRUE
"185588",7.60443794617633e-07,10,NA,0.604395604395604,0.604395604395604,TRUE
"2587846",1.191145862737e-05,37,NA,0.825274725274725,0.825274725274725,FALSE
"2785911",7.43836817931013e-06,29,NA,0.769108669108669,0.769108669108669,TRUE
"1637853",6.0864173800066e-06,34,NA,0.805128205128205,0.805128205128205,FALSE
"2735554",5.76017705008804e-05,37,NA,0.825274725274725,0.825274725274725,FALSE
"2652177",6.23925437246821e-06,6,NA,0.564102564102564,0.564102564102564,TRUE
"1985873",4.04783650259372e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"2954079",8.87191261272258e-06,20,NA,0.696581196581197,0.696581196581197,TRUE
"2973088",5.38492115412837e-06,39,NA,0.838095238095238,0.838095238095238,FALSE
"1573712",5.98823010262645e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"1573711",2.28886620367073e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"2745509",3.23621487255758e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"2842357",1.34209674608844e-05,41,NA,0.85042735042735,0.85042735042735,FALSE
"1510150",3.37791310021752e-06,37,NA,0.825274725274725,0.825274725274725,FALSE
"1076550",4.64672150933045e-06,33,NA,0.798168498168498,0.798168498168498,TRUE
"456327",9.41069199600765e-05,23,NA,0.721855921855922,0.721855921855922,TRUE
"2005046",7.55035617466541e-06,30,NA,0.776556776556776,0.776556776556776,TRUE
"70856",1.83101146299514e-06,21,NA,0.705128205128205,0.705128205128205,TRUE
"393662",7.38524290736842e-06,37,NA,0.825274725274725,0.825274725274725,FALSE
"351052",1.75073349627857e-05,33,NA,0.798168498168498,0.798168498168498,TRUE
"456",1.19281687653692e-06,2,NA,0.521855921855922,0.521855921855922,TRUE
"2662262",4.3101227250079e-07,2,NA,0.521855921855922,0.521855921855922,TRUE
"404582",2.21042320529826e-06,8,NA,0.584493284493284,0.584493284493284,TRUE
"1406197",2.70932076188405e-06,8,NA,0.584493284493284,0.584493284493284,TRUE
"2975933",1.07034262883229e-06,12,NA,0.623809523809524,0.623809523809524,TRUE
"2721244",6.42197026709824e-07,6,NA,0.564102564102564,0.564102564102564,TRUE
"2903647",6.0934304135077e-07,4,NA,0.543223443223443,0.543223443223443,TRUE
"1928",6.23397570177794e-05,28,NA,0.761538461538461,0.761538461538461,TRUE
"67308",1.89383454525131e-06,20,NA,0.696581196581197,0.696581196581197,TRUE
"875328",4.22928333893645e-06,18,NA,0.679120879120879,0.679120879120879,TRUE
"29314",5.24242523427394e-06,35,NA,0.811965811965812,0.811965811965812,FALSE
"300028",1.8307592085616e-05,48,NA,0.88974358974359,0.88974358974359,FALSE
"1404244",4.96473431080925e-06,26,NA,0.746031746031746,0.746031746031746,TRUE
"1528099",8.59055073042776e-06,40,NA,0.844322344322344,0.844322344322344,FALSE
"47853",2.12889915178126e-05,39,NA,0.838095238095238,0.838095238095238,FALSE
"479978",1.95305708279453e-05,34,NA,0.805128205128205,0.805128205128205,FALSE
"1688404",3.29599869546156e-06,6,NA,0.564102564102564,0.564102564102564,TRUE
"33907",6.69556880927697e-07,10,NA,0.604395604395604,0.604395604395604,TRUE
"254785",5.00670163277549e-05,25,NA,0.738095238095238,0.738095238095238,TRUE
"3034016",1.26226388622223e-06,13,NA,0.633333333333333,0.633333333333333,TRUE
"320324",4.09040035521601e-06,32,NA,0.791086691086691,0.791086691086691,TRUE
"2749995",7.91510834595881e-06,28,NA,0.761538461538461,0.761538461538461,TRUE
"1486245",2.33301684843409e-06,23,NA,0.721855921855922,0.721855921855922,TRUE
"2767188",9.09472419887095e-06,13,NA,0.633333333333333,0.633333333333333,TRUE
"1100",3.94882111935137e-06,13,NA,0.633333333333333,0.633333333333333,TRUE
"2527982",5.21512914348618e-06,31,NA,0.783882783882784,0.783882783882784,TRUE
"1658616",1.28208033392079e-06,19,NA,0.687912087912088,0.687912087912088,TRUE
"2495594",2.6524217192039e-06,16,NA,0.661172161172161,0.661172161172161,TRUE
"1750598",8.23342338044409e-07,9,NA,0.594505494505495,0.594505494505495,TRUE
"3131999",4.32562998965753e-06,33,NA,0.798168498168498,0.798168498168498,TRUE
"1510225",1.1068982161308e-06,19,NA,0.687912087912088,0.687912087912088,TRUE
"2963433",2.23925944856732e-06,24,NA,0.73003663003663,0.73003663003663,TRUE
"2876194",1.27576200097673e-06,16,NA,0.661172161172161,0.661172161172161,TRUE
"2955888",9.61557398733841e-07,5,NA,0.553724053724054,0.553724053724054,TRUE
"3060522",5.34526544696025e-07,7,NA,0.574358974358974,0.574358974358974,TRUE
"2782629",6.49346793319552e-05,29,NA,0.769108669108669,0.769108669108669,TRUE
"2592816",8.1551178152755e-05,24,NA,0.73003663003663,0.73003663003663,TRUE
"2020311",6.81199936133262e-06,33,NA,0.798168498168498,0.798168498168498,TRUE
"2895568",1.63393519874904e-06,24,NA,0.73003663003663,0.73003663003663,TRUE
"555319",1.71081297190154e-05,17,NA,0.67020757020757,0.67020757020757,TRUE
"739141",0.000100499138748427,35,NA,0.384615384615385,0.384615384615385,TRUE
"2587861",1.0408104244149e-05,34,NA,0.805128205128205,0.805128205128205,FALSE
"3080828",3.17399815183864e-06,31,NA,0.783882783882784,0.783882783882784,TRUE
"2975052",3.72842493241917e-06,21,NA,0.705128205128205,0.705128205128205,TRUE
"1218315",5.06001394753195e-06,29,NA,0.769108669108669,0.769108669108669,TRUE
"571256",1.2524166549593e-05,40,NA,0.844322344322344,0.844322344322344,FALSE
"431306",1.87706708115754e-06,25,NA,0.738095238095238,0.738095238095238,TRUE
"76588",1.51299399878663e-07,6,NA,0.564102564102564,0.564102564102564,TRUE
"2558361",2.32650779332001e-06,27,NA,0.753846153846154,0.753846153846154,TRUE
"1773489",1.69217025323774e-05,41,NA,0.450549450549451,0.450549450549451,TRUE
"2867010",4.07608718460125e-06,38,NA,0.831746031746032,0.831746031746032,FALSE
"564137",1.06359783699614e-05,41,NA,0.85042735042735,0.85042735042735,FALSE
"3080827",7.90327569166043e-06,38,NA,0.831746031746032,0.831746031746032,FALSE
"266809",5.25566278299491e-06,35,NA,0.811965811965812,0.811965811965812,FALSE
"1509244",1.73653037654564e-06,25,NA,0.738095238095238,0.738095238095238,TRUE
