"","AMC60","AMC6","AMC38","AMC30","AMC32","AMC33","AMC31","AMC36","AMC37","AMC3","AMC35","AMC39","AMC34","AMC7","AMC47","AMC49","AMC46","AMC45","AMC44","AMC41","AMC48","AMC40","AMC4","AMC43","AMC42","AMC10","AMC1","AMC91","AMC95","AMC93","AMC9","AMC94","AMC8","AMC96","AMC53","AMC5","AMC58","AMC57","AMC55","AMC59","AMC50","AMC52","AMC54","AMC51","AMC56","AMC22","AMC28","AMC25","AMC26","AMC24","AMC21","AMC29","AMC23","AMC27","AMC2"
"Chromium_resistance",0.00350553505535055,0.00373233804318848,0.0032093266963584,0.00269106566200215,0.00321322010557723,0.00310017438480915,0,0.00413576725613234,0.00593471810089021,0,0.00335457900033546,0,0,0,0.0053897978825794,0.00230149597238205,0.0033500837520938,0.00255945398315026,0.00348250043531255,0.0206185567010309,0,0.00347050074367873,0.00233725166701038,0.00362705355237892,0.00109229929000546,0.00322234156820623,0.0039912193175015,0.00373719107896323,0.00441423148229893,0.00292710385589643,0.00459166939980321,0.00383051907442151,0,0.00310719834282755,0.00440852314474651,0.00961538461538462,0.0289855072463768,0.00362647325475975,0.00312695434646654,0.0020703933747412,0.00740740740740741,0.00290892817185053,0.00352112676056338,0,0.00904977375565611,0.00356252226576416,0.00536870361597979,0.00326131267835304,0.00374882849109653,0.00504286434694907,0.00862068965517241,0,0.00673400673400673,0.00390665158836229,0.012987012987013
"Cobalt_resistance",0.00129151291512915,0.000755354127788145,0.00111343987424679,0.000717617509867241,0.000918062887307781,0.00155008719240457,0,0.000855675984027382,0,0,0.00201274740020127,0,0,0,0.000769971126082772,0,0,0.000639863495787565,0.000696500087062511,0,0,0.00123946455131383,0.00123736852959373,0.00170684873053126,0.00109229929000546,0,0.00039912193175015,0.000843881856540084,0.00105941555575174,0.000675485505206867,0.000983929157100689,0.000938086303939962,0,0.00129466597617815,0.000734753857457752,0,0,0.000725294650951949,0.00125078173858662,0.0020703933747412,0,0,0.000704225352112676,0,0,0.000356252226576416,0.000947418285172904,0.00203832042397065,0,0,0,0,0.00187055742611298,0.00154209931119564,0
"Copper_resistance",0.0515682656826568,0.0512307829023372,0.0511527377521614,0.0477215644061715,0.0592150562313518,0.0519279209455532,0.0289855072463768,0.0523388476896748,0.0489614243323442,0.0106382978723404,0.0524991613552499,0.0602409638554217,0.0327868852459016,0,0.0581328200192493,0.0437284234752589,0.0410385259631491,0.0533219579822971,0.0485808810726101,0.0206185567010309,0.03125,0.0508180466038671,0.0477074310854472,0.0456582035417111,0.0546149645002731,0.0193340494092374,0.0498902414687687,0.0508137432188065,0.0521762161207734,0.0506614128905151,0.044276812069531,0.050891181988743,0.0222222222222222,0.0504919730709477,0.0431667891256429,0.0326923076923077,0.0579710144927536,0.0513145965548504,0.0459662288930582,0.0502070393374741,0.0481481481481481,0.0481091966882972,0.0530281690140845,0.0288461538461538,0.0452488687782805,0.0545065906661917,0.0506868782567504,0.0544231553200163,0.028116213683224,0.0514372163388805,0.0517241379310345,0.024390243902439,0.0568649457538346,0.0469826256810939,0.038961038961039
"Drug_and_biocide_and_metal_resistance",0.0136531365313653,0.0147960543854972,0.0147367042179722,0.0174022246142806,0.0160661005278862,0.0129819802363883,0.0869565217391304,0.0155447803764974,0,0.0425531914893617,0.0142569607514257,0,0,0.111111111111111,0.012512030798845,0.0805523590333717,0.0745393634840871,0.0156766556467954,0.013581751697719,0.0206185567010309,0.015625,0.0156172533465543,0.0134048257372654,0.0155749946660977,0.0174767886400874,0.075187969924812,0.01337058471363,0.01416515973478,0.0143021100026485,0.0164368139600338,0.0134470318137094,0.0143058161350844,0.0222222222222222,0.0143276368030381,0.0124908155767818,0.0480769230769231,0.101449275362319,0.014143245693563,0.0165728580362727,0.0113871635610766,0.0740740740740741,0.0167822779145223,0.0167605633802817,0,0.0407239819004525,0.0165657285358033,0.0186325596084004,0.0183448838157358,0.0815370196813496,0.0146243066061523,0.0193965517241379,0,0.0153385708941264,0.0151125732497173,0.025974025974026
"Drug_and_biocide_resistance",0.206918819188192,0.211899049142451,0.205069426250982,0.206494438464299,0.193252237778288,0.198217399728735,0.304347826086956,0.205219623502567,0.132047477744807,0.148936170212766,0.204964776920496,0.240963855421687,0.262295081967213,0.148148148148148,0.204427333974976,0.234752589182969,0.215242881072027,0.214674202836728,0.222183527772941,0.216494845360825,0.15625,0.203437448355644,0.205678146696913,0.215062940046938,0.19006007646095,0.24812030075188,0.221113550189583,0.208197709463532,0.208616579853447,0.207430340557276,0.208428993112496,0.207082551594747,0.233333333333333,0.214655618850337,0.216201322556943,0.234615384615385,0.280193236714976,0.209428830462375,0.216697936210131,0.22463768115942,0.255555555555556,0.212351756545088,0.210985915492958,0.201923076923077,0.226244343891403,0.206982543640898,0.200694773409127,0.218711781492051,0.207122774133083,0.196167423096319,0.146551724137931,0.121951219512195,0.193789749345305,0.210959185771564,0.149350649350649
"Drug_and_metal_resistance",0.000553505535055351,0.000710921532035901,0.000523971705527902,0,0.00045903144365389,0.000387521798101143,0,0.000570450656018254,0.0029673590504451,0,0.000335457900033546,0,0,0,0.000769971126082772,0,0,0.000639863495787565,0.000348250043531255,0,0,0.000495785820525533,0.000687426960885406,0.000426712182632814,0.00218459858001092,0,0.00119736579525045,0.000723327305605787,0.000882846296459786,0.000900647340275823,0.000983929157100689,0.000469043151969981,0,0.00103573278094252,0.00110213078618663,0,0,0,0.00125078173858662,0.0010351966873706,0,0.00134258223316178,0.000422535211267606,0,0,0,0.00157903047528817,0.000815328169588259,0.00187441424554827,0,0,0,0,0.00102806620746376,0
"Fluoroquinolones",0.00682656826568266,0.0121300986403626,0.00949698716269321,0.0111230714029422,0.00596740876750057,0.00658787056771943,0,0.00713063320022818,0.00593471810089021,0,0.00670915800067092,0,0,0,0.00962463907603465,0.00690448791714614,0,0.00661192278980484,0.00766150095768762,0,0,0.00950256156007272,0.0113425448546092,0.00640068273949221,0.00764609503003823,0.00214822771213749,0.0063859509080024,0.0115732368896926,0.00944645537211971,0.0094005066141289,0.0108232207281076,0.00945903689806129,0,0.0102710167443466,0.00734753857457752,0,0,0.00906618313689937,0.00562851782363977,0.0031055900621118,0,0.00805549339897069,0.0104225352112676,0,0,0.00979693623085144,0.00757934628138323,0.00937627395026498,0,0.00504286434694907,0.00862068965517241,0,0.00748222970445193,0.0104862753161304,0.012987012987013
"Fosfomycin",0.00488929889298893,0.00404336621345419,0.00419177364422321,0.0035880875493362,0.00321322010557723,0.00523154427436543,0,0.00541928123217342,0.00593471810089021,0,0.0043609527004361,0,0,0,0.00461982675649663,0,0,0.0036258931427962,0.00383075047884381,0,0,0.00545364402578086,0.00529318759881763,0.00213356091316407,0.00327689787001638,0,0.00419078028337657,0.00397830018083183,0.004149377593361,0.00546017450042218,0.00311577566415218,0.00476860537836148,0,0.00612808562057656,0.00495958853783982,0,0,0.00398912058023572,0.00437773608505316,0,0,0.00358021928843142,0.00464788732394366,0,0.00904977375565611,0.00285001781261133,0.00505289752092215,0.00326131267835304,0.00187441424554827,0.00605143721633888,0,0,0.00299289188178077,0.00431787807134779,0
"Fusidic_acid",0.00276752767527675,0.00204389940460322,0.00189939743253864,0.000717617509867241,0.00229515721826945,0.00368145708196086,0,0.0031374786081004,0,0,0.00301912110030191,0,0,0,0.00153994225216554,0,0,0.00277274181507945,0.00208950026118753,0,0,0.00165261940175178,0.00206228088265622,0.00128013654789844,0,0,0.00199560965875075,0.00174804098854732,0.00229540037079544,0.00163242330424993,0.00229583469990161,0.00140712945590994,0.0222222222222222,0.0018125323666494,0.00220426157237326,0,0,0.000725294650951949,0.00125078173858662,0.0010351966873706,0,0.00179010964421571,0.00176056338028169,0,0,0.00320627003918774,0.0036317700931628,0.00244598450876478,0,0.00201714573877963,0,0,0.00336700336700337,0.00226174565642027,0
"Glycopeptides",0.0180811808118081,0.0199946680885097,0.0172255698192298,0.02081090778615,0.0188202891898095,0.0220887424917652,0,0.0203936109526526,0.0118694362017804,0.0212765957446809,0.019959745051996,0,0,0,0.0180943214629451,0.00230149597238205,0,0.0204756318652021,0.0186313773289222,0.0206185567010309,0.015625,0.0220624690133862,0.021241493091359,0.0189886921271602,0.0196613872200983,0,0.0183596088605069,0.0178420735382761,0.0210117418557429,0.0194202082746974,0.0218104296490653,0.0220450281425891,0,0.0175211462109442,0.0185525349008082,0,0.00966183574879227,0.0179510426110607,0.0265791119449656,0.0165631469979296,0,0.0149921682703066,0.0195070422535211,0.0192307692307692,0.0180995475113122,0.0190594941218383,0.0156324017053529,0.0175295556461476,0.00187441424554827,0.0171457387796268,0.0129310344827586,0,0.0261878039655817,0.0209725506322607,0.012987012987013
